Identifier,StructureData,,,,,
6M9Y,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.2M Ammonium Citrate pH 7.0, 20% PEG 3350",2.78,55.78
4ZIO,"VAPOR DIFFUSION, SITTING DROP",291,8,Sitting drop,2.24,45.21
2A53,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"PEG 3350, NaCl, pH 7.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.1,40.4
2A54,"VAPOR DIFFUSION, SITTING DROP",293,7.1,"PEG 3350, NaCl, pH 7.1, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.1,40.4
2DDC,"VAPOR DIFFUSION, SITTING DROP",293,7,"4M NaCl, 0.1M HEPES, pH 7, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.4,48.78
2DDD,"VAPOR DIFFUSION, SITTING DROP",293,7,"4M NaCl, 0.1M HEPES, pH 7, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.38,48.4
6S68,"VAPOR DIFFUSION, HANGING DROP",293,7.6,"24% PEG 3350, 0.2 M sodium chloride, 0.1M HEPES pH 7.6",2,38.65
4Z4K,VAPOR DIFFUSION,293,,"0.2 M Lithium sulfate monohydrate, 0.1 M Tris pH 8.5, 25% w/v PEG 3350.",2.27,45.93
7SQZ,,,,,,
6NHV,,,,,,
4NWS,"VAPOR DIFFUSION, HANGING DROP",298,3.5,"0.1M citric acid, pH 3.5, 25% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.37,48.01
5YT1,"VAPOR DIFFUSION, HANGING DROP",289,7.9,"20 mM Tris, NaCl 100 mM, pH 7.9, 0.2 M Lithium Chloride, 20% w/v Polyethylene Glycol 3350",1.96,37.34
6WEM,"VAPOR DIFFUSION, SITTING DROP",291,7,"0.2 M MgCl2, 0.1 M Bis-Tris HCl pH 6.5, and 25% PEG 3350",2.07,40.48
6RUL,VAPOR DIFFUSION,293,,"0.1 M MES pH 6.0, 30% (v/v) PEG 600, 5% (w/v) PEG 1000, 10% (v/v) glycerol",2.55,51.81
4IZN,"VAPOR DIFFUSION, HANGING DROP",289,8,"0.2M KCl, 0.05M HEPES, 32%(v/v) PEP 426, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 289K",2.18,43.58
4DKM,"VAPOR DIFFUSION, HANGING DROP",298,7,"28% PEG 8000, 1M NACL, 100MM HEPES, , pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.28,46.07
5YR2,"VAPOR DIFFUSION, SITTING DROP",289.15,5.5,"PEG 3350 25%, 0.2M MgCl2,0.1M Bis-Tris pH 5.5",2.09,37.38
4DXI,"VAPOR DIFFUSION, HANGING DROP",277,7.7,"0.06M Tris, 0.1M magnesium sulfate, 20% PEG 4000, pH 7.7, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.08,40.82
4GOB,"VAPOR DIFFUSION, HANGING DROP",298,3.8,"20% PEG 4000, 0.12M mM Glycine-phosphate, 100 mM magnesium chloride, pH 3.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.36,47.87
4PPK,,293,7.5,"20% PEG3350, 0.1M MgCl2, 0.1M Tris-HCl pH7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.85,33.52
4PPL,,293,7.4,"21% PEG 3350, 0.2M MgCl2, 0.1M BTP ph 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.95,37.05
7V0V,,,,,,
5LEL,"VAPOR DIFFUSION, SITTING DROP",293,8,"PEG3350 23.2% w/v, Sodium acetate 0.2 M, Bis-Tris propane 0.1 M, pH 8.0",2.24,45
5LEM,"VAPOR DIFFUSION, SITTING DROP",293,9,"PEG6000 20% w/v, TAPS 0.02 M, pH 9.0",2.65,53.65
3P28,"VAPOR DIFFUSION, HANGING DROP",279,4.6,"0.07 M Na-acetate trihydrate pH 4.6, 5.6% PEG 4000, and 30 % Glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 279K",2.08,40.8
4DKN,,,5.5,"100MM CITRIC ACID, 30% PEG 4000, 3% ISOPROPANOL, PH 5.5, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 298K",1.99,38.14
5F9G,"VAPOR DIFFUSION, HANGING DROP",295,8,"pnGFP1.5-Y.Cro in buffer 50mM Hepes pH 7.5, 0.3M NaCl, 1mM beta-mercaptoethanol, A280=52; Crystals were grown in drops of  1ul protein solution: 1ul well solution containing 20-22% PEG 3350, 0.25M potassium thiocyanate, 0.1M Tris pH 8.0",2.62,53.14
2WIQ,VAPOR DIFFUSION,293,8.5,"1.8M AMMONIUM SULFATE, 0.1M TRIS PH 8.5, 0.05M ASCORBIC ACID, VAPOR DIFFUSION, TEMPERATURE 293K",1.89,34.3
2WIS,VAPOR DIFFUSION,293,8.5,"1.8M AMMONIUM SULFATE 0.1M TRIS PH 8.5, 0.05M ASCORBIC ACID, VAPOR DIFFUSION, TEMPERATURE 293K",1.89,34.3
4HQ8,"VAPOR DIFFUSION, SITTING DROP",289,7.5,"25%(w/v) PEG 3350, 0.1M Hepes, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 289K",1.98,37.84
4HQ9,"VAPOR DIFFUSION, SITTING DROP",289,7.5,"25%(w/v) PEG 3350, 0.1M Hepes, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 289K",1.794,31.436
4HQC,"VAPOR DIFFUSION, SITTING DROP",289,7.5,"25%(w/v) PEG 3350, 0.1M Hepes, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 289K",1.91,35.46
5LTQ,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"0.19mM CYMAL-7, 40% PEG 400, 100mM HEPES",1.83,32.64
5LTR,"VAPOR DIFFUSION, HANGING DROP",293,8,"20% PEG 8,000, 100mM HEPES",1.88,34.49
7RRH,"VAPOR DIFFUSION, SITTING DROP",292,7.4,"0.1 M Tris-HCl pH 7.4, 0.1 M MgCl2, 18% PEG 3350",1.95,37.07
7RRI,"VAPOR DIFFUSION, SITTING DROP",292,7.4,"0.1 M Tris-HCl pH 7.4, 0.1 M MgCl2, 18% PEG 3350",2.1,41.39
7RRJ,"VAPOR DIFFUSION, SITTING DROP",292,7.4,"0.1 M Tris-HCl pH 7.4, 0.1 M MgCl2, 18% PEG 3350",2.12,41.87
7RRK,"VAPOR DIFFUSION, SITTING DROP",292,7.4,"0.1 M Tris-HCl pH 7.4, 0.1 M MgCl2, 18% PEG 3350",2.1,41.5
6WV8,LIPIDIC CUBIC PHASE,295,6,"25% PEG 400, 300 mM ammonium fluoride, 0.1 M MES pH 6.0",3.07,59.97
1UIS,"VAPOR DIFFUSION, HANGING DROP",293,4.3,"PEG 8000, sodium acetate, calcium acetate, pH 4.3, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.64,53
2ARL,,,,,3.26,62.23
3GL4,"VAPOR DIFFUSION, HANGING DROP",293,6.5,"2M (NH4)2SO4, 100MM CACODYLATE PH=6.5, 200MM NACL, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.92,35.97
3LF3,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"0.2M MgCl2, 0.1M Tris, 30% w/v PEG 4000, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.26,45.5
6U1A,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"5 mM CoCl2, 5 mM NiCl2, 5mM CdCl2, 5mM MgCl2, 0.1 M HEPES pH 7.5, 12% PEG3350",2.18,43.45
4JRB,"VAPOR DIFFUSION, SITTING DROP",277,7.5,"100mM Tris, 10% propanol, 20% PEG4K, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",3.26,62.22
5AQB,,,8.5,"PEG3350 20.0% W/V, SODIUM FORMATE 0.2 M, BIS TRIS PROPANE 0.1 M, PH 8",2.31,46.8
4W6U,"VAPOR DIFFUSION, HANGING DROP",298,4.2,"0.2M NaCl, 0.1M Phosphate-citrate pH 4.2, 20% PEG8000",2.21,44.27
3GB3,"VAPOR DIFFUSION, HANGING DROP",293,6.5,"2M (NH4)2SO4, 100mM Cacodylate pH=6.5, 200mM NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.98,37.73
3NEZ,,298,6.5,"200 mM ammonium acetate, 100 mM Bis-Tris, pH 6.5, and 25% (w/v) polyethylene glycol 3350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.25,45.45
5LK4,"VAPOR DIFFUSION, HANGING DROP",293,4.2,"35-45% PEG 300, 100mM Sodium Phosphate Citrate",2.44,49.59
4XBI,"VAPOR DIFFUSION, HANGING DROP",277,,"2 M ammonium sulphate
100 mM Hepes pH=7
protein at 13-15 mg/ml",2.51,51.03
5FGU,"VAPOR DIFFUSION, SITTING DROP",277,6,"Crystals were grown by mixing 0.25uL of protein (13.3mg/mL) with 0.25uL mother liquor (45mM Na cacodylate pH 6, 13.5mM magnesium sulfate, 1.53M ammonium sulfate), using sitting drop vapor diffusion",2.7,54.5
1HUY,"VAPOR DIFFUSION, HANGING DROP",277,5,"50 mM NH4OAc, 50 mM NaOAc, 8% PEG 3400, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.1,41.36
3NED,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"200 mM ammonium acetate, 100 mM Bis-Tris, pH 6.5, and 25% (w/v) polyethylene glycol 3350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.21
2V4E,"VAPOR DIFFUSION, SITTING DROP",298,5.5,"100 MM BIS-TRIS, PH 5.5 200 MM AMMONIUM SULFATE, 16% PEG8000, VAPOR DIFFUSION, SITTING DROP, 298K",2.84,58
4KPI,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2M ammonium nitrate 
20% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.3,45.9
6EFR,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"6mM nicotine, 50mM MgCl2, 10mM HEPES, 30% PEG 550",2.5,50.83
3SVN,"VAPOR DIFFUSION, HANGING DROP",298.15,7.5,"0.1M Tris-HCl, 0.25M ammonium citrate dibasic, 22% PEG3350, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298.15K",2.36,47.9
3SVO,"VAPOR DIFFUSION, HANGING DROP",298.15,10,"20% PEG3350, 0.1M glycine,  
0.2M MgCl2, pH 10.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.15K",2.42,49.18
3SVR,"VAPOR DIFFUSION, HANGING DROP",298.15,7.5,"0.1M Tris-HCl, 22% PEG3350, 0.1M MgCl2, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298.15K",2.34,47.34
3SVU,"VAPOR DIFFUSION, HANGING DROP",298.15,7.4,"0.1M tris-HCl, 0.1M ammonium citrate dibasic , 18% PEG3350, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 298.15K",2.38,48.24
3WCK,"VAPOR DIFFUSION, SITTING DROP",293,4.2,"0.1M SODIUM ACETATE, 2.2M SODIUM CHLORIDE, 0.2M LITHIUM SULFATE, pH 4.2, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.16,43.17
6WVD,LIPIDIC CUBIC PHASE,295,,"30% PEG400, 0.1 M Li2SO4, 0.1M NaCl, 0.1 M Tris pH 8.0",2.18,43.51
3U8P,VAPOR DIFFUSION,,6.4,"0.1 M MES/NAOH, PH 6.4, 200 MM magnesium acetate and 20% (W/V) PEG 8000; for cryoprotection 16% glycerol was added to the reservoir buffer, VAPOR DIFFUSION",3.09,60.24
6GEZ,VAPOR DIFFUSION,293,7,"0.2 M SODIUM FORMIATE, PH 7.0, 5 MM CALCIUM CHLORIDE, 20 % PEG3350",3.08,60
6WV9,LIPIDIC CUBIC PHASE,295,7.5,"42% PEG 400, 50 mM ammonium formate, 0.1 M HEPES pH 7.5.

protein-ligand co-crystallization",3.16,61.03
6WVA,LIPIDIC CUBIC PHASE,295,7.5,"42% PEG 400, 50 mM ammonium formate, 0.1 M HEPES pH 7.5",3.14,60.86
6WVI,LIPIDIC CUBIC PHASE,295,7.5,"42% PEG 400, 50 mM ammonium formate, 0.1 M HEPES pH 7.5",3.17,61.14
3A8S,"VAPOR DIFFUSION, SITTING DROP",293,6.1,"100mM MES pH6.1, 37.5% PEG 400, 5% PEG 3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K",4.54,72.91
7KM4,"VAPOR DIFFUSION, SITTING DROP",298,,"200, Potassium Chloride, 20% PEG-3350",2.12,42.03
3BXB,,293,7,"20% w/v PEG 6000, 1.0M LiCl, 0.1M HEPES, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.08,40.98
3BXC,,293,9,"20% w/v PEG 6000, 1.0M LiCl, 0.1M Bicine pH 9.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.06,40.15
3NT9,"VAPOR DIFFUSION, SITTING DROP",298,5.6,"20% PEG 1000, 0.1 M phosphate-citrate, pH 5.6, 0.2 M Li2SO4, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.67,53.93
3SVS,"VAPOR DIFFUSION, HANGING DROP",298.15,4,"18% PEG3350, 0.15M DL-Malic Acid, 0.1M sodium acetate trihydrate, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.15K",2.3,46.63
4KGE,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"0.1M Na-acetate, pH 4.5, 3.0M NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.2,61.62
4KGF,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1M Na-acetate, pH 4.5, 3.0M NaCl. Then Solution slowly replaced with 0.1M Tris-HCl, pH 8.0, 3.0M NaCl  
8-10 min, color change (darker), VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.17,61.23
4ZFS,"VAPOR DIFFUSION, HANGING DROP",293,5,"0.02M Na acetate, 1% gamma-PGA (Na+ form, LM), 3% PEG 4000",2.75,55.29
3OSQ,"VAPOR DIFFUSION, HANGING DROP",296,5.6,"0.5 M Ammonium sulfate, 0.1M Sodium citrate tribasic dihydrate pH 5.6, 1.0 M Lithium sulfate monohydrate, VAPOR DIFFUSION, HANGING DROP, temperature 296K",2.92,57.84
3OSR,VAPOR DIFFUSION,296,4.6,"0.1 M Sodium acetate pH 4.6, 8% w/v polyethylene glycol 4000, VAPOR DIFFUSION, temperature 296K",2.49,50.53
5FHV,"VAPOR DIFFUSION, SITTING DROP",289,7.4,"0.2 M MgCl2.6H2O, 0.1 M Tris pH 8.5, 25 % PEG 4000",2.39,48.49
2JAD,,,10,50MM BICARBONATE PH 10 1.5-1.75M MGSO4,3.6,66
6WVB,LIPIDIC CUBIC PHASE,295,5.5,"23% PEG400, 0.1 M Sodium nitrate,  0.1 M MES pH 5.5",2.7,54.51
3VHT,"VAPOR DIFFUSION, SITTING DROP",293,7,"0.2M DL-Malic acid, 20% PEG 3350, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K",2.61,52.86
3EVP,,,,,2.02,39.01
7SAH,"VAPOR DIFFUSION, SITTING DROP",295,9,"100mM BICINE with 2% (w/v) 1,4-Dioxane and 10% (w/v) PEG20000",2.54,51.6
4IK1,"VAPOR DIFFUSION, HANGING DROP",289,8.5,"Tris pH 8.5, (NH4)2SO4, 25% PEG 3350, 0.5% DDAO, VAPOR DIFFUSION, HANGING DROP, temperature 289K",3.51,64.91
4IK3,"VAPOR DIFFUSION, HANGING DROP",289,8.5,"Tris pH 8.5, (NH4)2SO4, 23% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 289K",1.96,37.29
4IK4,"VAPOR DIFFUSION, HANGING DROP",289,5,"Bis-Tris pH 5.0, (NH4)2SO4 and 25% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 289K",1.94,36.67
4IK5,"VAPOR DIFFUSION, HANGING DROP",289,8.5,"Tris pH 8.5, NH4OAc, 23% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 289K",3.73,67.03
4IK8,"VAPOR DIFFUSION, HANGING DROP",289,7.5,"HEPES pH 7.5, (NH4)2SO4, 25% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 289K",1.94,36.7
4IK9,"VAPOR DIFFUSION, HANGING DROP",289,7.5,"HEPES pH 7.5, (NH4)2SO4, 21% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 289K",1.97,37.45
3RWA,"VAPOR DIFFUSION, HANGING DROP",273,7.5,"0.1M Tris-HCl pH 7.4, 0.2M MgCl2 and 18% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 273K",2.35,47.71
3RWT,"VAPOR DIFFUSION, HANGING DROP",293,7.4,"0.1 M Tris-HCl pH 7.4, 0.2 M MgCl2 and 18% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.21,44.26
6YLO,"VAPOR DIFFUSION, HANGING DROP",291,5.5,"PEG 3000,  Tri-sodium citrate",3.14,60.85
5EB6,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2M Magnesium Chloride, 0.1M Bis-Tris:HCl pH 6.5, 25% PEG 3350",2.34,47.55
5EB7,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2M Magnesium Chloride, 0.1M Bis-Tris:HCl pH 6.5, 25% PEG 3350",2.46,50.05
5EXU,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2M Magnesium Chloride, 0.1M Bis-Tris:HCl pH 6.5, 25% PEG 3350",2.36,47.84
8DPD,"VAPOR DIFFUSION, SITTING DROP",298,,"0.2 M Magnesium chloride, 0.1 M Tris-HCl pH 8.5, 25% PEG 3350",2.07,40.59
7EYE,,,,,,
7EYQ,,,,,,
6WVE,LIPIDIC CUBIC PHASE,295,6,"25% PEG 400, 100 mM ammonium acetate, 0.1 M MES pH 6.0",3.53,65.15
5EJU,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2M Magnesium Chloride, 0.1M Bis-Tris:HCl pH 6.5, 25% PEG 3350",2.34,47.55
3CFH,"VAPOR DIFFUSION, SITTING DROP",298,,"0.1M TRIS, 65%(w/v) MPD, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",2.79,55.9
6MB2,,,,,,
2GW4,"VAPOR DIFFUSION, SITTING DROP",298,8,"2M Li2SO4, 2mM NiCl2, 0.1M Tris, pH 8, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.58,52.27
3LF4,"VAPOR DIFFUSION, HANGING DROP",293,5,"0.1M Citric Acid, 1.0M LiCl, 20% w/v PEG 6000, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.92,57.89
6DGV,"VAPOR DIFFUSION, HANGING DROP",298,,"0.056 M Sodium phosphate monobasic monohydrate
1.344 M Potassium phosphate dibasic",2.99,58.86
3CFF,"VAPOR DIFFUSION, SITTING DROP",298,7.2,"0.2M di-Sodium tartate, 40%(w/v) MPD, pH 7.2, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",2.83,56.54
6URU,"VAPOR DIFFUSION, HANGING DROP",298,,Phosphate buffer,2.39,48.55
4P7H,"VAPOR DIFFUSION, HANGING DROP",293,6,"10% Tacsimate, pH 6.0, 10% glycerol, 14-15% PEG 3350, 0.2 mM MgCL2, and 5 mM TCEP",2.67,53.95
3OGO,"VAPOR DIFFUSION, SITTING DROP",293,5.6,"20% PEG 4000, 20% isopropanol, 0.1M trisodium citrate dihydrate, pH 5.6, VAPOR DIFFUSION, SITTING DROP, temperature 293K",3.13,60.75
5MWC,"VAPOR DIFFUSION, HANGING DROP",286,4.8,"0.1M Sodium acetate, 22.5% PEG3350, 10% PEG400, 5% DMSO.",1.89,35.01
7PNN,"VAPOR DIFFUSION, SITTING DROP",287,,"200 mM KCl, 20% (w/v) PEG3350",2.96,58.51
7SAJ,"VAPOR DIFFUSION, SITTING DROP",295,7,2.5M malonate,2.71,54.6
6LNP,"VAPOR DIFFUSION, SITTING DROP",293,,"4% Tacsimate pH 5.0, 12% Polyethylene glycol 3350",2.93,57.95
6WVG,LIPIDIC CUBIC PHASE,295,6,"30% PEG 400, 0.1 M KH2PO4, 0.1 M MES pH 6.0",3.62,66.03
3U0K,"VAPOR DIFFUSION, SITTING DROP",298,7.5,"0.2 M ammonium acetate, 0.1 M HEPES pH 7.5, 25% PEG 3350, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.08,40.82
6RUM,VAPOR DIFFUSION,293,,"0.1 M MES pH 6.0, 20% (w/v) PEG 6000, 1.0 M lithium chloride",2.32,47.02
1H4U,,,5.5,"10 MG/ML PROTEIN, 5-8% PEG4000, 0.1 M ACETATE PH 5.5",2.92,57.89
3M22,"VAPOR DIFFUSION, SITTING DROP",298,8.8,"30% PEG 4000, 0.1 M Tris-HCl, pH 8.5, 0.2 M MgCl2, 0.1 M TCEP, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.12,42.1
6YLP,"VAPOR DIFFUSION, HANGING DROP",298,3.8,"PEG 8000, potassium dihydrogen phosphate",2.12,41.91
5JVA,"VAPOR DIFFUSION, HANGING DROP",291,8.5,"30% PEG 4000, 0.1 M Tris-HCl, 0.2 M Li2SO4",2.29,46.28
1GL4,,,7.5,"10% PEG 6000, 5% MPD, 0.1 M HEPES PH 7.5",2.46,50.1
6B0B,"VAPOR DIFFUSION, SITTING DROP",293,,"NH4I, PEG3350",3.14,60.79
3U8A,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"0.2M Ammonium Citrate, 20% PEG 3350, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.16,43.05
5EBJ,"VAPOR DIFFUSION, SITTING DROP",290,6.5,"0.2M Magnesium Chloride, 0.1M Bis-Tris:HCl pH 6.5, 25% PEG 3350",2.5,50.8
5UKG,"VAPOR DIFFUSION, SITTING DROP",295,6.5,"0.1 M BIS-TRIS pH 6.5, 20% w/v Polyethylene glycol monomethyl ether 5,000",2.21,44.41
7DIG,"VAPOR DIFFUSION, HANGING DROP",295.15,,"Tris, MgCl2, PEG 4000",2.26,45.49
4TZA,"VAPOR DIFFUSION, HANGING DROP",293,7,"20% w/v PEG MME 2000, 0.1 M Tris-HCl pH 7.0",2.34,47.6
4TZG,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2 M Tris-HCl pH 8.0, 22.5% (w/v) PEG 3350, 0.2 M MgCl2",2.26,45.6
3BXA,"VAPOR DIFFUSION, HANGING DROP",293,4.2,"17.5% w/v PEG 3350, 0.07M citric acid, pH 4.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.33,47.16
6WV7,LIPIDIC CUBIC PHASE,295,6.5,"33% PEG400, 5% DMSO, 0.1 M sodium acetate, 0.1 M MES, pH 6.5",3,58.98
7SAK,"VAPOR DIFFUSION, SITTING DROP",295,4,"20 % PEG3350, 100 mM MMT (Malic Acid, MES and TRIS)",1.84,33.21
6WV3,LIPIDIC CUBIC PHASE,295,6.5,"37% PEG400, 0.1 M MES, pH 6.5",2.91,57.69
6WV4,LIPIDIC CUBIC PHASE,295,6.5,"25-33% PEG400, 185-220 mM potassium formate, 0.1 M MES, pH 6.5",3.49,64.76
6WV5,LIPIDIC CUBIC PHASE,295,6.5,"25% PEG400, 0.1 M ammonium citrate dibasic, 0.1 M MES, pH 6.5",3.96,68.94
6WV6,LIPIDIC CUBIC PHASE,295,6.5,"34% PEG400, 80 mM lithium sulfate, 0.1 M MES, pH 6.5",3.17,61.17
6WVH,LIPIDIC CUBIC PHASE,295,6.5,"32% PEG400, 0.1 M ammonium acetate, 1% 1,2,3-heptanetriol, 0.1 M MES, pH 6.5",3.03,59.45
3PMK,"VAPOR DIFFUSION, HANGING DROP",293,4.6,"4% (w/v) PEG 4000, 0.1M sodium acetate trihydrate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.87,57.21
4KZE,"VAPOR DIFFUSION, HANGING DROP",298,7.2,"8% Tacsimate, 20% PEG 3,350, 0.1 M HEPES, VAPOR DIFFUSION, HANGING DROP, temperature 298K, pH 7.2",3.42,64.02
4Q9Q,"VAPOR DIFFUSION, HANGING DROP",298,7.1,"8% Tacsimate pH 7.0, 16% PEG 3,350, 0.1M cacodylate pH 7.1, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.47,64.53
4Q9R,"VAPOR DIFFUSION, HANGING DROP",298,7,"8% Tacsimate pH 7.0, 20% PEG 3,350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.42,64.02
3LVC,"VAPOR DIFFUSION, HANGING DROP",293,6.5,"0.1M Bis-Tris 25% PEG 3350, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.15,42.68
5BTT,"VAPOR DIFFUSION, SITTING DROP",297,8.5,"50 mM MMT, 2.5 M (NH4)2SO4",3.09,60.23
7LG4,"VAPOR DIFFUSION, SITTING DROP",294,,"amacGFP (12 mg/mL in 20 mM Tris-HCl buffer, pH 7.5) was crystallized at 21 C in 8% PEG 6K, 3% glycerol, 0.1 M sodium acetate, pH 5.0 supplemented with 5.0% Jeffamine M-600 pH 7.0 according to the Hampton Research Additive Screen protocol",1.97,37.56
6ITC,,,,,,
4KZD,"VAPOR DIFFUSION, HANGING DROP",298,7,"8% Tacsimate, 20% PEG 3,350, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.47,64.51
7Y96,"VAPOR DIFFUSION, SITTING DROP",293,5.3,"0.4 M ammonium sulfate, 0.1 M Bis-Tris pH 5.3, PEG 3350 27%, 0.5% ethyl acetate",2.72,54.83
5JZK,"VAPOR DIFFUSION, SITTING DROP",281,,"20 % w/v PEG 3350, 0.1 M Bis-Tris propane pH 6.5, 0.2 M Sodium nitrate",2.38,48.28
6QUI,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M Mes pH 6.5, 1.2M Ammonium sulphate, 8% glycerol",2.75,55.24
6QUJ,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M Mes pH 6.5, 1.2M Ammonium Sulphate, 8% Glycerol",2.74,55.06
6PER,"VAPOR DIFFUSION, HANGING DROP",294,7,"0.1 M HEPES:NaOH, 30% Jeffamine ED-2001",2.4,49.19
4TS0,"VAPOR DIFFUSION, HANGING DROP",298,,"20% PEG 3350, 0.25M NaCl, 0.1M succinate-K pH 7.0, 15% sucrose",3.09,60.19
4TS2,"VAPOR DIFFUSION, HANGING DROP",298,,"20% PEG 3350, 0.5M NaCl, 0.1M succinate-K pH 7.0, 10% sucrose",3.13,60.68
7SWU,"VAPOR DIFFUSION, SITTING DROP",293,,"20 % (w/v) polyethylene glycol 3350, 0.2 M potassium nitrate",2.7,54.49
6XU4,"VAPOR DIFFUSION, HANGING DROP",293,,2.5 M Ammonium sulfate; 10%DMSO,3.4,63.87
2VZX,,,8.8,"32% PEG 3350, 0.1M MAGNESIUM NITRATE, PH 8.8",2.07,40
3LVD,"VAPOR DIFFUSION, HANGING DROP",293,6.5,"0.1M Bis-Tris, 25% PEG 3350, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.12,41.9
6GOY,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 30 % PEG 1000",1.96,37.18
6GOZ,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"100 mM HEPES, 30 % PEG 1000",1.93,36.21
6S67,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.9 M trisodium citrate, 0.2 M
sodium chloride, 0.1M Tris pH 7.0",2.59,52.43
5MA5,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1M tri Sodium citrate pH 5.6, 20% v/v 2-Propanol, 20%w/v PEG 4000",2.65,53.58
